Timestamp,PID,Name,CPU Usage (%),Memory Usage (MB),Disk Read (Bytes),Disk Write (Bytes)
'2025-07-04 13:45:45,2686089,3DSlamPrinter,10.0,217.69921875,4292608,32768
'2025-07-04 13:45:48,2686089,3DSlamPrinter,9.0,217.69921875,4292608,32768
'2025-07-04 13:45:51,2686089,3DSlamPrinter,10.0,217.69921875,4292608,32768
'2025-07-04 13:45:54,2686089,3DSlamPrinter,8.0,217.69921875,4292608,32768
'2025-07-04 13:45:57,2686089,3DSlamPrinter,10.0,217.69921875,4292608,32768
'2025-07-04 13:46:01,2686089,3DSlamPrinter,9.0,217.69921875,4292608,32768
'2025-07-04 13:46:04,2686089,3DSlamPrinter,8.0,217.69921875,4292608,32768
'2025-07-04 13:46:07,2686089,3DSlamPrinter,11.0,217.69921875,4292608,32768
'2025-07-04 13:46:10,2686089,3DSlamPrinter,10.0,217.69921875,4292608,32768
'2025-07-04 13:46:13,2686089,3DSlamPrinter,9.0,217.69921875,4292608,32768
'2025-07-04 13:46:17,2686089,3DSlamPrinter,10.0,217.69921875,4292608,32768
'2025-07-04 13:46:20,2686089,3DSlamPrinter,9.0,217.69921875,4292608,32768
'2025-07-04 13:46:23,2686089,3DSlamPrinter,10.0,217.69921875,4292608,32768
'2025-07-04 13:46:26,2686089,3DSlamPrinter,9.0,217.69921875,4292608,32768
'2025-07-04 13:46:29,2686089,3DSlamPrinter,11.0,217.69921875,4292608,32768
'2025-07-04 13:46:32,2686089,3DSlamPrinter,11.0,217.69921875,4292608,32768
'2025-07-04 13:46:36,2686089,3DSlamPrinter,10.0,217.69921875,4292608,32768
'2025-07-04 13:46:39,2686089,3DSlamPrinter,11.0,217.69921875,4292608,32768
'2025-07-04 13:46:42,2686089,3DSlamPrinter,11.0,217.69921875,4292608,32768
