Timestamp,PID,Name,CPU Usage (%),Memory Usage (MB),Disk Read (Bytes),Disk Write (Bytes)
'2025-07-04 13:45:45,2686203,AGVPerceptionServer,55.0,886.18359375,1167360,5125279744
'2025-07-04 13:45:48,2686203,AGVPerceptionServer,48.9,886.1875,1167360,5127749632
'2025-07-04 13:45:51,2686203,AGVPerceptionServer,48.0,886.3203125,1167360,5130539008
'2025-07-04 13:45:54,2686203,AGVPerceptionServer,49.0,886.4375,1167360,5132795904
'2025-07-04 13:45:57,2686203,AGVPerceptionServer,50.0,886.9765625,1167360,5135040512
'2025-07-04 13:46:01,2686203,AGVPerceptionServer,49.9,887.0390625,1167360,5137838080
'2025-07-04 13:46:04,2686203,AGVPerceptionServer,52.0,887.046875,1167360,5140099072
'2025-07-04 13:46:07,2686203,AGVPerceptionServer,50.9,887.0546875,1167360,5142589440
'2025-07-04 13:46:10,2686203,AGVPerceptionServer,52.0,887.10546875,1167360,5145362432
'2025-07-04 13:46:13,2686203,AGVPerceptionServer,51.9,887.109375,1167360,5147615232
'2025-07-04 13:46:17,2686203,AGVPerceptionServer,54.0,887.12109375,1167360,5149876224
'2025-07-04 13:46:20,2686203,AGVPerceptionServer,55.0,887.1484375,1167360,5152133120
'2025-07-04 13:46:23,2686203,AGVPerceptionServer,52.9,887.16796875,1167360,5155131392
'2025-07-04 13:46:26,2686203,AGVPerceptionServer,51.9,887.20703125,1167360,5157408768
'2025-07-04 13:46:29,2686203,AGVPerceptionServer,51.9,887.20703125,1167360,5159665664
'2025-07-04 13:46:32,2686203,AGVPerceptionServer,53.9,887.24609375,1167360,5162430464
'2025-07-04 13:46:36,2686203,AGVPerceptionServer,57.0,887.296875,1167360,5164679168
'2025-07-04 13:46:39,2686203,AGVPerceptionServer,55.0,887.37890625,1167360,5166936064
'2025-07-04 13:46:42,2686203,AGVPerceptionServer,55.0,887.37890625,1167360,5169250304
